Team,Conference,Games,Wins,Losses,Off Rank,Off Plays,Off Yards,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,First Downs,Interceptions Thrown.x,Pass Yards,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Pass Yards Per Game Allowed,Rushing Def Rank,Opp Rush Touchdowns Allowed,Rushing Off Rank,Rushing TD,Sack Rank,Scoring Def Rank,Touchdowns Allowed,Points Allowed,Avg Points per Game Allowed,Scoring Off Rank,Touchdowns,PAT,2 Point Conversions,Feild Goals,Total Points,Points Per Game,Time of Possession Rank,Turnover Rank,Fumbles Recovered
Massachusetts ,FBS Independent,12,1,11,126,822,3517,29,293.1,130,867,6734,82,86,561.2,190,16,2022,15,168.5,109,262.1,130,50,114,14,126,130,86,632,52.7,118,31,30,0,7,237,19.8,126,53,11
Memphis ,AAC,14,12,2,10,992,6791,65,485.1,61,999,5369,42,45,383.5,327,11,4177,33,298.4,20,195.9,93,27,39,32,34,58,45,370,26.4,8,71,65,1,23,566,40.4,50,69,8
Miami (FL),ACC,13,6,7,98,844,4774,43,367.2,13,849,4028,29,30,309.8,253,10,3239,27,249.2,18,195.2,17,13,120,16,6,23,30,263,20.2,90,43,38,1,12,334,25.7,62,46,10
Miami (OH),MAC,14,8,6,122,870,4328,33,309.1,60,1014,5347,50,52,381.9,216,10,2495,11,178.2,40,209.2,81,24,105,22,27,69,52,394,28.1,99,37,36,0,26,338,24.1,107,52,9
Michigan ,Big Ten,13,9,4,68,905,5220,51,401.5,11,846,3994,36,37,307.2,286,9,3261,25,250.8,10,185.5,22,20,77,26,21,25,37,269,20.7,44,52,46,3,16,412,31.7,76,61,11
Michigan St. ,Big Ten,13,7,6,95,932,4835,29,371.9,18,843,4181,35,37,321.6,274,15,3182,17,244.8,37,207.8,16,11,113,12,12,37,37,293,22.5,105,32,31,0,22,291,22.4,34,78,10
Middle Tenn. ,C-USA,12,4,8,59,771,4900,40,408.3,114,888,5512,42,43,459.3,247,9,2837,22,236.4,113,265.3,101,19,53,18,129,81,43,359,29.9,85,41,35,1,11,316,26.3,118,43,9
Minnesota ,Big Ten,13,11,2,42,883,5616,56,432,10,787,3986,32,37,306.6,294,8,3293,31,253.3,9,184.2,23,18,46,25,64,37,37,293,22.5,21,59,54,1,11,443,34.1,4,40,5
Mississippi St. ,SEC,13,6,7,70,844,5201,46,400.1,73,824,5189,47,49,399.2,280,10,2333,19,179.5,97,246.8,59,25,21,27,72,74,49,375,28.8,74,48,44,0,9,359,27.6,29,57,14
Missouri ,SEC,12,6,6,93,852,4491,31,374.3,14,771,3744,27,28,312,245,8,2671,17,222.6,6,179.3,31,12,74,14,106,16,28,233,19.4,93,37,34,0,16,304,25.3,72,53,7
Navy ,AAC,13,11,2,19,877,5925,62,455.8,16,777,4084,32,36,314.2,282,4,1238,10,95.2,38,208.3,10,13,1,52,56,34,36,290,22.3,12,64,61,1,12,483,37.2,8,27,10
NC State ,ACC,12,4,8,88,881,4563,28,380.3,72,857,4787,45,46,398.9,259,10,2749,14,229.1,103,255.5,50,21,75,14,18,82,46,361,30.1,107,29,28,0,21,265,22.1,81,126,4
Nebraska ,Big Ten,12,5,7,55,867,4990,39,415.8,64,832,4666,39,41,388.8,250,9,2551,12,212.6,30,200.8,94,25,30,27,57,66,41,333,27.8,72,43,40,1,12,336,28,92,61,10
Nevada ,Mountain West,13,7,6,101,946,4749,30,365.3,75,857,5201,49,52,400.1,251,13,3246,14,249.7,99,250.8,57,18,122,16,92,100,52,415,31.9,111,31,28,0,21,277,21.3,27,96,8
